Region,Vino Blanco,Vino Tinto,Vino Rosado,Vino Espumoso,Vino Dulce
Región,Vino Blanco,Vino Tinto,Vino Rosado,Vino Espumoso,Vino Dulce
Comunidad Valenciana,"Arroz a banda, Fideuá, Ensalada de tomate","Embutidos, Cordero asado, Paella de carne","Paella de marisco, Tartar de atún, Brochetas","Tapas variadas, Jamón ibérico, Croquetas","Mistela, Pan de higo, Arroz con leche"
Castilla-La Mancha,"Pisto manchego, Gachas","Cochinillo asado, Queso manchego","Pimientos rellenos, Gazpacho manchego","Tortillas de camarones, Tarta de queso","Tarta de Santiago, Dulces de la tierra"
Variado (España),"Pulpo a la gallega, Ensalada de mariscos","Jamón ibérico, Chuletón de vaca","Ensalada de frutas, Tarta de frutas","Cava, Salmón ahumado, Quesos suaves","Tarta de manzana, Mantecados"
Aragón,"Ternasco de Aragón, Verduras asadas","Ternera a la brasa, Bacalao al ajo aragonés","Brochetas de pescado, Ensalada de atún","Tostas con queso y tomate, Tartar de atún","Melocotón en almíbar, Roscos de vino"
Navarra,"Piquillos rellenos de marisco, Ensalada de atún","Cordero al chilindrón, Chistorra","Ensalada de frutas, Tarta de frutas","Bocadillos de jamón ibérico, Ensalada César","Vino de Navarra dulce, Piquillos en vinagre"
Cataluña,"Escudella i carn d'olla, Mariscos a la plancha","Pato a la naranja, Embutidos catalanes","Ensalada de tomate, Queso de cabra","Aceitunas, Ensalada de mariscos, Tartar","Crema catalana, Turrón"
Región de Murcia,"Calamares rellenos, Arroz caldereta","Gachas murcianas, Cordero al horno","Ensalada murciana, Gambas a la plancha","Tartar de atún, Boquerones fritos","Piquillos, Mermeladas de hortalizas"
La Rioja,"Ensalada riojana, Piquillos rellenos de bacalao","Chuletillas al sarmiento, Pochas con chorizo","Piquillos, Gazpacho riojano","Cava, Aceitunas, Tapas de pescado","Tarta de manzana, Mermelada de arándanos"
Castilla y León,"Judiones de la Granja, Sopas de ajo","Cochinillo asado, Lechazo de Castilla y León","Ensalada de queso y frutos secos, Revuelto de setas","Tostas de jamón ibérico, Almejas a la marinera","Dulces de chocolate, Bizcochos de miel"
Galicia,"Pulpo a la gallega, Empanada gallega","Carne de ternera gallega, Pimientos de Padrón","Ensalada de almejas, Arroz con marisco","Queso de tetilla, Empanada gallega","Tarta de Santiago, Frutas en almíbar"
Andalucía,"Salmorejo, Pescado frito","Jamón ibérico, Rabo de toro","Ensalada de naranja y bacalao, Gazpacho","Tapas frías, Montaditos, Croquetas","Pestiños, Mantecados"
Extremadura,"Migas extremeñas, Tarta de queso","Cordero a la brasa, Ternera de Alistano","Ensalada extremeña, Pimientos rellenos","Cava, Tostas de foie, Almejas","Dulce de membrillo, Tarta de nueces"
Región Lisboa (Portugal),"Bacalao a bras, Calamares a la parrilla","Carne de cerdo alentejana, Bife a portuguesa","Ensalada de pollo, Bacalao dorado","Bocaditos de queso, Aceitunas","Pasteles de nata, Galletas de almendra"
Región Alentejo (Portugal),"Sopa de tomate, Bacalao a bras","Carne de caza, Costillas de cerdo","Ensalada de tomate y queso, Mariscos","Bocadillos, Tapas frías","Bolo de arroz, Torta de amêndoa"
Región Norte (Portugal),"Mariscos, Arroz de marisco","Feijoada, Costillas a la brasa",Ensalada de gambas y aguacate,"Aperitivos de pescado, Ensaladas variadas","Doce de ovos, Bolos de mel"
Región Centro (Portugal),"Sopa da pedra, Bacalao con garbanzos","Carne de cerdo, Chanfana","Ensalada de hortalizas, Morcilla de arroz","Ensalada de atún, Chistorra","Tarte de amêndoa, Encharcada"
Variado (Portugal),"Almejas a la marinera, Peixe grelhado","Carne de vaca a la portuguesa, Cabrito asado","Pimientos de Padrón, Tomate en ensalada","Quesos suaves, Caviar, Mariscos","Tarta de almendra, Pasteis de Belém"
Región Algarve (Portugal),"Sardinas asadas, Ensalada de polvo","Cordero al horno, Costillas de cerdo","Arroz de marisco, Ensalada de tomate","Tostas de atún, Camarones","Tarta de almendra, Fruta de temporada"
Sicilia (Italia),"Pasta alla norma, Arancini","Caponata, Cordero a la siciliana","Ensalada de atún, Sardinas al horno","Prosecco, Quesos sicilianos, Aceitunas","Cannoli, Cassata siciliana"
Abruzos (Italia),"Sopa de lentejas, Cordero a la abruzzese","Pecorino, Pappardelle con carne","Ensalada de tomate y albahaca, Morcilla","Espumoso de Abruzzo, Galletas","Mostaccioli, Parrozzo"
Apulia (Italia),"Orecchiette con cime di rapa, Mariscos","Pollo al vino, Cordero asado","Ensalada de pimientos, Pizzas de Puglia","Espumoso de Apulia, Almejas fritas","Pastel de almendra, **"
