,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
0,1,Calabuig,Tinto 2022,3.5,2226,2.85,España,Valencia,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
1,2,Finca Venta de Don Quijote,Red Blend 2023,3.0,63,2.96,España,La Mancha,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
2,3,Finca Venta de Don Quijote,Sauvignon Blanc - Macabeo 2024,3.8,1986,2.96,España,La Mancha,2024,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
3,4,Félix Solís,Mucho Más Sparkling N.V.,3.9,1347,3.0,España,Vino de España,N.V.,espumoso,Centro (España),"Jamón ibérico, Queso manchego"
4,5,Torrelongares,Blanco Macabeo 2023,3.1,199,3.0,España,Cariñena,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
5,7,Castillo de Liria,Bobal Rosé 2023,3.4,975,3.1,España,Valencia,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
6,8,Castillo de Liria,Viura - Sauvignon Blanc 2022,3.4,40,3.1,España,Valencia,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
7,9,Castillo de Liria,Organic Viura - Chardonnay 2022,3.5,139,3.1,España,Utiel-Requena,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
8,10,Castillo de Liria,Medium White 2007,3.3,1962,3.1,España,Valencia,2007,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
9,13,Dominio de Eguren,Protocolo Tinto 2022,3.5,52,3.44,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
10,14,J. Fernando,Barrica 6 Meses Tempranillo 2022,3.6,53,3.47,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
11,15,Schenk Spanish Wineries,Vega Libre Blanco 2023,3.2,505,3.5,España,Valencia,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
12,16,Schenk Spanish Wineries,Vega Libre Rosé 2023,3.3,81,3.5,España,Utiel-Requena,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
13,17,Schenk Spanish Wineries,Vega Libre Tinto 2023,3.0,3320,3.5,España,Valencia,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
14,18,Canforrales,Clásico Tempranillo 2023,3.5,1280,3.5,España,La Mancha,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
15,19,Valcarlos,Fortius Rosado 2023,3.3,852,3.55,España,Navarra,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
16,21,Osborne,Solaz Chardonnay 2023,3.5,205,3.63,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
17,22,Dominio de Eguren,Protocolo Tinto 2021,3.6,246,3.69,España,Castilla,2021,tinto,Centro (España),"Cordero asado, Queso manchego"
18,23,Volver,Espeto Tinto 2020,3.5,32,3.7,España,Castilla,2020,tinto,Centro (España),"Cordero asado, Queso manchego"
19,24,Valcarlos,Fortius Blanco 2023,3.5,796,3.75,España,Navarra,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
20,25,Osborne,Solaz Rosado 2023,3.5,225,3.75,España,Castilla,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
21,26,Valcarlos,Fortius Blanco Chardonnay 2020,3.7,112,3.75,España,Navarra,2020,blanco,Norte (España),"Mariscos, Merluza a la vasca"
22,27,Osborne,Solaz Tempranillo 2022,3.6,35,3.75,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
23,28,Cavas Hill,Masia Hill Blanc 2023,3.0,70,3.79,España,Cataluña,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
24,29,Garcia Carrion,5.5° Fizzy Frizzante Verdejo 2022,3.4,275,3.8,España,Murcia,2022,blanco,Sur (España),"Pescado frito, Salmorejo"
25,30,Osborne,Solaz Verdejo 2023,3.4,31,3.81,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
26,31,Marqués de Griñon,Tinto 2023,3.2,128,3.81,España,Rioja,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
27,32,San Valero,Origium Garnacha Rosé 2019,3.4,37,3.82,España,Cariñena,2019,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
28,33,Calabuig,Tinto 2021,3.7,436,3.85,España,Valencia,2021,tinto,Centro (España),"Cordero asado, Queso manchego"
29,34,Nebla,Chardonnay Sobre Lías 2023,3.7,123,3.89,España,Utiel-Requena,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
