Region/Country;Product;Variable;Year;Unit;Suma de Quantity
Portugal;Uvas pasas;Exportaciones;2013;toneladas;158
Portugal;Vino;Importaciones;2013;1000 hl;1600
Portugal;Uvas pasas;Consumo;2013;toneladas;2500
Portugal;Uvas pasas;Importaciones;2013;toneladas;2658
Portugal;Vino;Exportaciones;2013;1000 hl;3041
Portugal;Vino;Consumo;2013;1000 hl;4164
Portugal;Uvas frescas;Exportaciones;2013;toneladas;5258
Portugal;Vino;Producción;2013;1000 hl;6231
Portugal;Uvas de mesa;Producción;2013;toneladas;17479
Portugal;Uvas frescas;Importaciones;2013;toneladas;27387
Portugal;Uvas de mesa;Consumo;2013;toneladas;34000
Portugal;Viñedo;Superficie;2013;ha;229210
Portugal;Uvas frescas;Producción;2013;toneladas;827745
Portugal;Uvas pasas;Exportaciones;2014;toneladas;169
Portugal;Vino;Importaciones;2014;1000 hl;2330
Portugal;Uvas pasas;Consumo;2014;toneladas;2800
Portugal;Vino;Exportaciones;2014;1000 hl;2836
Portugal;Uvas pasas;Importaciones;2014;toneladas;2908
Portugal;Vino;Consumo;2014;1000 hl;4289
Portugal;Vino;Producción;2014;1000 hl;6206
Portugal;Uvas frescas;Exportaciones;2014;toneladas;7437
Portugal;Uvas de mesa;Producción;2014;toneladas;14435
Portugal;Uvas frescas;Importaciones;2014;toneladas;31904
Portugal;Uvas de mesa;Consumo;2014;toneladas;37000
Portugal;Viñedo;Superficie;2014;ha;223550
Portugal;Uvas frescas;Producción;2014;toneladas;818512
Portugal;Uvas pasas;Exportaciones;2015;toneladas;104
Portugal;Vino;Importaciones;2015;1000 hl;2161
Portugal;Uvas pasas;Consumo;2015;toneladas;2602
Portugal;Uvas pasas;Importaciones;2015;toneladas;2706
Portugal;Vino;Exportaciones;2015;1000 hl;2796
Portugal;Vino;Consumo;2015;1000 hl;4813
Portugal;Uvas frescas;Exportaciones;2015;toneladas;5411
Portugal;Vino;Producción;2015;1000 hl;7048
Portugal;Uvas de mesa;Producción;2015;toneladas;19033
Portugal;Uvas frescas;Importaciones;2015;toneladas;28589
Portugal;Uvas de mesa;Consumo;2015;toneladas;35000
Portugal;Viñedo;Superficie;2015;ha;203528
Portugal;Uvas frescas;Producción;2015;toneladas;934633
Portugal;Uvas pasas;Exportaciones;2016;toneladas;63
Portugal;Vino;Importaciones;2016;1000 hl;1804
Portugal;Uvas pasas;Consumo;2016;toneladas;2184
Portugal;Uvas pasas;Importaciones;2016;toneladas;2247
Portugal;Vino;Exportaciones;2016;1000 hl;2778
Portugal;Vino;Consumo;2016;1000 hl;4686
Portugal;Uvas frescas;Exportaciones;2016;toneladas;5363
Portugal;Vino;Producción;2016;1000 hl;6010
Portugal;Uvas de mesa;Producción;2016;toneladas;22136
Portugal;Uvas frescas;Importaciones;2016;toneladas;30760
Portugal;Uvas de mesa;Consumo;2016;toneladas;42000
Portugal;Viñedo;Superficie;2016;ha;195397
Portugal;Uvas frescas;Producción;2016;toneladas;800738
Portugal;Uvas pasas;Exportaciones;2017;toneladas;82
Portugal;Uvas pasas;Consumo;2017;toneladas;1965
Portugal;Uvas pasas;Importaciones;2017;toneladas;2047
Portugal;Vino;Importaciones;2017;1000 hl;2156
Portugal;Vino;Exportaciones;2017;1000 hl;2993
Portugal;Vino;Consumo;2017;1000 hl;5273
Portugal;Uvas frescas;Exportaciones;2017;toneladas;6404
Portugal;Vino;Producción;2017;1000 hl;6737
Portugal;Uvas de mesa;Producción;2017;toneladas;21744
Portugal;Uvas frescas;Importaciones;2017;toneladas;32446
Portugal;Uvas de mesa;Consumo;2017;toneladas;45000
Portugal;Viñedo;Superficie;2017;ha;193672
