Winery,Wine,Rating,num_reviews,Price,Country
Vinicola de Castilla,Palacio del Marques,3.5,58,2.0,
Calabuig,Tinto,3.5,2226,2.85,
Finca Vieja,Crianza,3.2,912,2.9,
Finca Venta de Don Quijote,Red Blend,3.0,63,2.96,
Castillo de Liria,Bobal - Shiraz,3.3,137,3.1,
Las Campanas,Selección Especial,3.7,185,3.25,
Dominio de Eguren,Protocolo Tinto,3.5,52,3.44,
J. Fernando,Barrica 6 Meses Tempranillo,3.6,53,3.47,
Schenk Spanish Wineries,Vega Libre Tinto,3.0,3320,3.5,
Canforrales,Clásico Tempranillo,3.5,1277,3.5,
Valcarlos,Fortius Roble,3.4,59,3.55,
Dominio de Eguren,Protocolo Tinto,3.6,245,3.69,
Volver,Espeto Tinto,3.5,32,3.7,
Osborne,Solaz Tempranillo,3.6,35,3.75,
Marqués de Griñon,Tinto,3.2,128,3.81,
Calabuig,Tinto,3.7,435,3.85,
Ceremonia,Bobal Premium Varietal,3.3,440,3.89,
Puerto Alicante,Monastrell Selección,3.3,123,3.89,
Puerto Alicante,Monastrell Selección,3.3,123,3.89,
Don Frutos,Tinto,3.0,39,3.9,
Empordàlia,Verdera Negre,3.1,938,3.9,
Bodega Pirineos,Colección Monovarietal Montesierra Garnacha,3.6,49,3.9,
Volver,Espeto Tinto,3.5,32,3.9,
Nuviana,Tinto,3.0,95,3.95,
Hoya de Cadenas,Shiraz Crianza,3.4,519,3.99,
Hoya de Cadenas,Merlot,3.2,275,3.99,
J. Fernando,Barrica 12 Meses Tempranillo,3.7,123,3.99,
Hoya de Cadenas,Cabernet Sauvignon Crianza,3.4,2032,3.99,
Ramón Roqueta,Synera Tinto,3.0,1792,4.0,
El Circo,Acróbata Garnacha,3.4,4030,4.0,
El Circo,Contorsionista Cabernet Sauvignon,3.3,1118,4.0,
Bodega Sommos,Glárima Merlot - Tempranillo,3.5,47,4.05,
Osborne,Solaz Tempranillo - Cabernet Sauvignon,3.7,225,4.05,
Félix Solís,Casa Albali Tempranillo - Shiraz,3.6,117,4.1,
Bodegas Ayuso,Estola Crianza,3.5,50,4.11,
Hoya de Cadenas,Reserva Tempranillo,3.5,464,4.15,
Bodegas Faustino,VII Tempranillo,3.6,962,4.15,
Félix Solís,Viña Albali Reserva,3.6,758,4.18,
Bodegas Estéban Martín,Vinem Garnacha - Syrah,3.3,2258,4.2,
Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble,3.6,71,4.2,
Falset Marçà,Imus Selection,3.4,143,4.22,
Mesta,Tempranillo Selección,3.3,91,4.25,
