Winery,Wine,Rating,num_reviews,Price,Country,Region,Food Pairings
Vinicola de Castilla,Palacio del Marques,3.5,58,2.0,España,Sin región,Sin maridaje
Calabuig,Tinto,3.5,2226,2.85,España,Sin región,Sin maridaje
Finca Venta de Don Quijote,Red Blend,3.0,63,2.96,España,Sin región,Sin maridaje
Castillo de Liria,Bobal - Shiraz,3.3,137,3.1,España,Sin región,Sin maridaje
Las Campanas,Selección Especial,3.7,185,3.25,España,Sin región,Sin maridaje
Dominio de Eguren,Protocolo Tinto,3.5,52,3.44,España,Sin región,Sin maridaje
J. Fernando,Barrica 6 Meses Tempranillo,3.6,53,3.47,España,Sin región,Sin maridaje
Schenk Spanish Wineries,Vega Libre Tinto,3.0,3320,3.5,España,Sin región,Sin maridaje
Canforrales,Clásico Tempranillo,3.5,1280,3.5,España,Sin región,Sin maridaje
Valcarlos,Fortius Roble,3.4,59,3.55,España,Sin región,Sin maridaje
Dominio de Eguren,Protocolo Tinto,3.6,246,3.69,España,Sin región,Sin maridaje
Volver,Espeto Tinto,3.5,32,3.7,España,Sin región,Sin maridaje
Osborne,Solaz Tempranillo,3.6,35,3.75,España,Sin región,Sin maridaje
Los Hermanos Manzanos,Tempranillo,3.6,194,3.79,España,Sin región,Sin maridaje
Marqués de Griñon,Tinto,3.2,128,3.81,España,Sin región,Sin maridaje
Calabuig,Tinto,3.7,435,3.85,España,Sin región,Sin maridaje
Ceremonia,Bobal Premium Varietal,3.3,440,3.89,España,Sin región,Sin maridaje
Puerto Alicante,Monastrell Selección,3.3,123,3.89,España,Sin región,Sin maridaje
Puerto Alicante,Monastrell Selección,3.3,123,3.89,España,Sin región,Sin maridaje
Don Frutos,Tinto,3.0,39,3.9,España,Sin región,Sin maridaje
Empordàlia,Verdera Negre,3.1,938,3.9,España,Sin región,Sin maridaje
Bodega Pirineos,Colección Monovarietal Montesierra Garnacha,3.6,49,3.9,España,Sin región,Sin maridaje
Volver,Espeto Tinto,3.5,32,3.9,España,Sin región,Sin maridaje
Mesta,Organic Tempranillo,3.4,1608,3.95,España,Sin región,Sin maridaje
Nuviana,Tinto,3.0,95,3.95,España,Sin región,Sin maridaje
Hoya de Cadenas,Merlot,3.2,275,3.99,España,Sin región,Sin maridaje
Hoya de Cadenas,Shiraz Crianza,3.4,519,3.99,España,Sin región,Sin maridaje
J. Fernando,Barrica 12 Meses Tempranillo,3.7,123,3.99,España,Sin región,Sin maridaje
Hoya de Cadenas,Cabernet Sauvignon Crianza,3.4,2032,3.99,España,Sin región,Sin maridaje
Ramón Roqueta,Synera Tinto,3.0,1792,4.0,España,Sin región,Sin maridaje
El Circo,Contorsionista Cabernet Sauvignon,3.3,1118,4.0,España,Sin región,Sin maridaje
Bodega Sommos,Glárima Merlot - Tempranillo,3.5,47,4.05,España,Sin región,Sin maridaje
Osborne,Solaz Tempranillo - Cabernet Sauvignon,3.7,226,4.05,España,Sin región,Sin maridaje
Félix Solís,Casa Albali Tempranillo - Shiraz,3.6,117,4.1,España,Sin región,Sin maridaje
Bodegas Ayuso,Estola Crianza,3.5,50,4.11,España,Sin región,Sin maridaje
Hoya de Cadenas,Reserva Tempranillo,3.5,464,4.15,España,Sin región,Sin maridaje
Bodegas Faustino,VII Tempranillo,3.6,964,4.15,España,Sin región,Sin maridaje
Félix Solís,Viña Albali Reserva,3.6,760,4.18,España,Sin región,Sin maridaje
Bodegas Estéban Martín,Vinem Garnacha - Syrah,3.3,2258,4.2,España,Sin región,Sin maridaje
Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble,3.6,71,4.2,España,Sin región,Sin maridaje
Falset Marçà,Imus Selection,3.4,143,4.22,España,Sin región,Sin maridaje
Mesta,Tempranillo Selección,3.3,91,4.25,España,Sin región,Sin maridaje
San Valero,Origium Roble,3.5,3419,4.25,España,Sin región,Sin maridaje
Cellers Domenys,Capvespre Origen Negre,3.3,61,4.25,España,Sin región,Sin maridaje
Félix Solís,Casa Albali Crianza,3.5,54,4.25,España,Sin región,Sin maridaje
Bodegas Vallobera,Crianza Rioja,3.6,628,4.26,España,Sin región,Sin maridaje
Berceo,Tempranillo,3.5,190,4.28,España,Sin región,Sin maridaje
Garriguella,Dinarells Tinto,3.2,570,4.3,España,Sin región,Sin maridaje
Finca Constancia,Altozano Tempranillo,3.7,98,4.3,España,Sin región,Sin maridaje
Alsina & Sarda,Vi de Terrer Onom,3.4,32,4.3,España,Sin región,Sin maridaje
Bach,Viña Extrísima Tinto,3.4,74,4.4,España,Sin región,Sin maridaje
Campo Viejo,Tempranillo,3.7,3578,4.4,España,Sin región,Sin maridaje
Poesia,Criança,3.1,363,4.4,España,Sin región,Sin maridaje
Poesia,Criança,3.1,363,4.4,España,Sin región,Sin maridaje
Bodegas Aragonesas,Coto de Hayas Garnacha - Syrah,3.3,1909,4.4,España,Sin región,Sin maridaje
Bodegas Faustino,VII Cabernet Sauvignon,3.6,296,4.4,España,Sin región,Sin maridaje
Pillet,Negre,2.4,51,4.42,España,Sin región,Sin maridaje
Azabache,Tunante de Azabache Tempranillo,3.6,89,4.45,España,Sin región,Sin maridaje
Rigau Ros,Criança,3.7,55,4.45,España,Sin región,Sin maridaje
Condesa de Leganza,Tempranillo,3.6,121,4.46,España,Sin región,Sin maridaje
Canforrales,Nature Syrah - Tempranillo,3.5,370,4.48,España,Sin región,Sin maridaje
Raiza,Altos de Raiza,3.5,1493,4.49,España,Sin región,Sin maridaje
Cellers Tarroné,Mas Tarroné Negre,3.0,651,4.49,España,Sin región,Sin maridaje
The Freaky Wines,Tempranillo,3.4,2916,4.49,España,Sin región,Sin maridaje
Murviedro,Colección Tempranillo,3.6,338,4.49,España,Sin región,Sin maridaje
Federico Paternina,Banda Azul Crianza,3.6,1116,4.49,España,Sin región,Sin maridaje
Malamigo,El Rebelde Red Blend,3.7,37,4.49,España,Sin región,Sin maridaje
Ca N'Estella,Clot Dels Oms Petit Tinto,3.4,32,4.5,España,Sin región,Sin maridaje
Poesia,Garnacha Negra,3.2,73,4.5,España,Sin región,Sin maridaje
Cellers Tarroné,Sisquera Tinto,3.3,903,4.5,España,Sin región,Sin maridaje
Bodegas Aragonesas,Solo Syrah Tirio,3.5,1774,4.5,España,Sin región,Sin maridaje
Pagos del Rey,Sentero Tinta de Toro Joven,3.7,110,4.5,España,Sin región,Sin maridaje
Poesia,Garnacha Negra,3.2,73,4.5,España,Sin región,Sin maridaje
Bodegas Yuntero,Tempranillo - Syrah,3.2,289,4.5,España,Sin región,Sin maridaje
Vina Herminia,Rioja Preferido,3.1,160,4.5,España,Sin región,Sin maridaje
Domeco de Jarauta,Viña Marro,3.7,707,4.5,España,Sin región,Sin maridaje
Las Campanas,Crianza,3.5,30,4.51,España,Sin región,Sin maridaje
Garriguella,Llepafils Negre,3.1,39,4.54,España,Sin región,Sin maridaje
Covila,II Tinto,3.1,184,4.55,España,Sin región,Sin maridaje
Volver,Madame Monastrell,3.7,121,4.55,España,Sin región,Sin maridaje
Murviedro,Colección Bobal Roble,3.7,708,4.55,España,Sin región,Sin maridaje
Séptimo Sentido,Tempranillo,3.5,3873,4.6,España,Sin región,Sin maridaje
Finca Venta de Don Quijote,Tango Rojo Syrah,3.2,159,4.6,España,Sin región,Sin maridaje
Pagos de Aráiz,Navarra Tinto Roble,3.6,2060,4.6,España,Sin región,Sin maridaje
Poesia,Criança,3.1,363,4.6,España,Sin región,Sin maridaje
Celler Batea,Torre del Moro Criança Tinto,3.5,194,4.67,España,Sin región,Sin maridaje
Infinitus,Syrah,3.1,916,4.7,España,Sin región,Sin maridaje
Don Diego Escolano,Gran Reserva,3.4,97,4.73,España,Sin región,Sin maridaje
Oliveda,Masia Oliveda Negre Jove,3.3,449,4.74,España,Sin región,Sin maridaje
Bodegas Cosme Palacio,Glorioso  Rioja Crianza,3.9,672,4.75,España,Sin región,Sin maridaje
Aldeya,Tinto,3.3,530,4.75,España,Sin región,Sin maridaje
Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble,3.4,4178,4.75,España,Sin región,Sin maridaje
El Aviador,Tempranillo,3.4,2499,4.8,España,Sin región,Sin maridaje
Poesia,Garnacha Negra,3.2,73,4.8,España,Sin región,Sin maridaje
Borsao Bodegas,Joven (Selección),3.3,42,4.85,España,Sin región,Sin maridaje
Bodegas Fontana,Dominio de Fontana Roble Tempranillo - Syrah,3.6,1607,4.85,España,Sin región,Sin maridaje
Dominio de Eguren,Códice,3.3,270,4.85,España,Sin región,Sin maridaje
Familia Torres,Sangre de Toro,3.5,61,4.85,España,Sin región,Sin maridaje
Marqués de Altillo,Tinto,3.3,1483,4.9,España,Sin región,Sin maridaje
Bodegas Javier San Pedro Ortega,Cueva de Lobos Joven,3.6,552,4.9,España,Sin región,Sin maridaje
Venta La Vega - Bodegas Almanseñas,Adaras Aldea,3.5,2223,4.9,España,Sin región,Sin maridaje
Vinicola de Castilla,Pago Peñuelas,3.3,33,4.9,España,Sin región,Sin maridaje
Particular,Garnacha,3.7,88,4.9,España,Sin región,Sin maridaje
Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble,3.6,241,4.9,España,Sin región,Sin maridaje
Altiplà Wines,El Destraler Negre,3.4,213,4.9,España,Sin región,Sin maridaje
Particular,Garnacha,3.6,1960,4.9,España,Sin región,Sin maridaje
Familia Torres,Sangre de Toro,3.5,40009,4.9,España,Sin región,Sin maridaje
Finca La Estacada,Envejecido 6 Meses En Barrica,3.5,2196,4.93,España,Sin región,Sin maridaje
